md5hash,fitzpatrick_scale,fitzpatrick_centaur,label,nine_partition_label,three_partition_label,qc,url,url_alphanum,image_path
b5fa137ead5d2d13313ff126e3e255c2,4,4,kaposi sarcoma,malignant dermal,malignant,,http://atlasdermatologico.com.br/img?imageId=2934,httpwwwatlasdermatologicocombrimgimageId2934.jpg,data/images/train/b5fa137ead5d2d13313ff126e3e255c2.jpg
aeec721bdc4094e13cfc48cdb942cb5c,5,5,folliculitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1704,httpwwwatlasdermatologicocombrimgimageId1704.jpg,data/images/train/aeec721bdc4094e13cfc48cdb942cb5c.jpg
d4ea2a4df6184550b69eeb20180a5e93,3,1,juvenile xanthogranuloma,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=8085,httpwwwatlasdermatologicocombrimgimageId8085.jpg,data/images/train/d4ea2a4df6184550b69eeb20180a5e93.jpg
460d3e4a95107988d677eb482273288e,3,4,lupus erythematosus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4055,httpwwwatlasdermatologicocombrimgimageId4055.jpg,data/images/train/460d3e4a95107988d677eb482273288e.jpg
ea7bb459f4d760b76a832012ddd9356f,4,5,seborrheic dermatitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6694,httpwwwatlasdermatologicocombrimgimageId6694.jpg,data/images/train/ea7bb459f4d760b76a832012ddd9356f.jpg
2edb9f6c4bd9f045320806d7c18f68a7,4,4,folliculitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6187,httpwwwatlasdermatologicocombrimgimageId6187.jpg,data/images/train/2edb9f6c4bd9f045320806d7c18f68a7.jpg
4dbb4fad384acdcdb70f2fb191036b12,4,6,behcets disease,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=8637,httpwwwatlasdermatologicocombrimgimageId8637.jpg,data/images/train/4dbb4fad384acdcdb70f2fb191036b12.jpg
0294c0bfeba8a35db3ca2fcfafd655ef,3,3,rhinophyma,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6486,httpwwwatlasdermatologicocombrimgimageId6486.jpg,data/images/train/0294c0bfeba8a35db3ca2fcfafd655ef.jpg
a5ca8c7a8954502b9bd4f11a06fab153,2,3,erythema annulare centrifigum,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1898,httpwwwatlasdermatologicocombrimgimageId1898.jpg,data/images/train/a5ca8c7a8954502b9bd4f11a06fab153.jpg
43a4b56ad73ed20ddb1d5936ec77bde8,2,-1,squamous cell carcinoma,malignant epidermal,malignant,,http://atlasdermatologico.com.br/img?imageId=6816,httpwwwatlasdermatologicocombrimgimageId6816.jpg,data/images/train/43a4b56ad73ed20ddb1d5936ec77bde8.jpg
78d15a1fbdf7c1769f523457ed6a8df9,5,4,pityriasis rubra pilaris,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5728,httpwwwatlasdermatologicocombrimgimageId5728.jpg,data/images/train/78d15a1fbdf7c1769f523457ed6a8df9.jpg
0f6dd3314858e27dcc8d8fc8c53c9d36,4,3,folliculitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2109,httpwwwatlasdermatologicocombrimgimageId2109.jpg,data/images/train/0f6dd3314858e27dcc8d8fc8c53c9d36.jpg
6dd80cd6cb04ab0d7418870bbce3c471,4,5,dariers disease,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1270,httpwwwatlasdermatologicocombrimgimageId1270.jpg,data/images/train/6dd80cd6cb04ab0d7418870bbce3c471.jpg
a949eef739550a512d89dc7faa87e251,5,4,pityriasis rosea,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5556,httpwwwatlasdermatologicocombrimgimageId5556.jpg,data/images/train/a949eef739550a512d89dc7faa87e251.jpg
89127ec79892859f64bab57ac7cddb27,4,4,lymphangioma,benign dermal,benign,,http://atlasdermatologico.com.br/img?imageId=4155,httpwwwatlasdermatologicocombrimgimageId4155.jpg,data/images/train/89127ec79892859f64bab57ac7cddb27.jpg
8c0eeb53db59a24675cb21b640006fd8,3,3,acne,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=71,httpwwwatlasdermatologicocombrimgimageId71.jpg,data/images/train/8c0eeb53db59a24675cb21b640006fd8.jpg
256d9dd351bff7d5aa484e21c05c952e,5,5,dariers disease,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1275,httpwwwatlasdermatologicocombrimgimageId1275.jpg,data/images/train/256d9dd351bff7d5aa484e21c05c952e.jpg
1ac32fd4d37811f356201fc9a5d42ee6,3,1,porokeratosis of mibelli,benign epidermal,benign,,http://atlasdermatologico.com.br/img?imageId=6004,httpwwwatlasdermatologicocombrimgimageId6004.jpg,data/images/train/1ac32fd4d37811f356201fc9a5d42ee6.jpg
2f1beec961a0f47a9226ec50a3e517d7,2,1,scabies,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6581,httpwwwatlasdermatologicocombrimgimageId6581.jpg,data/images/train/2f1beec961a0f47a9226ec50a3e517d7.jpg
c8c8ae17619e647185103a7715f45d67,1,1,granuloma pyogenic,benign dermal,benign,,http://atlasdermatologico.com.br/img?imageId=2312,httpwwwatlasdermatologicocombrimgimageId2312.jpg,data/images/train/c8c8ae17619e647185103a7715f45d67.jpg
9f02224f0aecb68e7e32278e3fc316b3,2,2,porokeratosis of mibelli,benign epidermal,benign,,http://atlasdermatologico.com.br/img?imageId=6009,httpwwwatlasdermatologicocombrimgimageId6009.jpg,data/images/train/9f02224f0aecb68e7e32278e3fc316b3.jpg
c0f4618e2c82398de185fe7698de7032,4,3,keratosis pilaris,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3050,httpwwwatlasdermatologicocombrimgimageId3050.jpg,data/images/train/c0f4618e2c82398de185fe7698de7032.jpg
c38745b6206df54deac45ab2a30a96e0,5,5,papilomatosis confluentes and reticulate,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=8427,httpwwwatlasdermatologicocombrimgimageId8427.jpg,data/images/train/c38745b6206df54deac45ab2a30a96e0.jpg
1dbde15208dce78fe95468e229a81363,4,3,epidermal nevus,benign epidermal,benign,,http://atlasdermatologico.com.br/img?imageId=1707,httpwwwatlasdermatologicocombrimgimageId1707.jpg,data/images/train/1dbde15208dce78fe95468e229a81363.jpg
